convOp, batch_size, test_error, time, imgs
cudnn, 1, 0.0, 0.0049085855484, 203.724675905
cudnn, 10, 10.000000149011612, 0.0147930860519, 675.99147094
cudnn, 50, 10.000000149011612, 0.0498131275177, 1003.75147058
cudnn, 100, 10.999999940395355, 0.0899076700211, 1112.25215798
cudnn, 200, 9.000000357627869, 0.174938130379, 1143.26133226
cudnn, 500, 10.80000028014183, 0.429194235802, 1164.97370722
cudnn, 1000, 10.100000351667404, 0.854981851578, 1169.6154698
cublas, 1, 0.0, 0.00610954761505, 163.678239865
cublas, 10, 10.000000149011612, 0.0240224599838, 416.27710096
cublas, 50, 10.000000149011612, 0.0994555711746, 502.737045391
cublas, 100, 10.999999940395355, 0.193693828583, 516.278710229
cublas, 200, 9.000000357627869, 0.382837605476, 522.414718771
cublas, 500, 10.80000028014183, 0.952393841743, 524.992894835
cublas, 1000, 10.100000351667404, 1.90068328381, 526.126582224
myconv, 1, 0.0, 0.135322642326, 7.38974633372
myconv, 10, 10.000000149011612, 0.175818777084, 56.8767464194
myconv, 50, 14.000000059604645, 0.358182692528, 139.593567872
myconv, 100, 11.999999731779099, 0.585150551796, 170.896190208
myconv, 200, 11.500000208616257, 1.03895847797, 192.500474504
myconv, 500, 12.600000202655792, 2.40367429256, 208.014871876
myconv, 1000, 10.899999737739563, 4.67534782887, 213.887829655
